,text,general_tags,specific_tags,token_tagset
0,It 's as if mga bobo at tanga ang mga kababayan natin kung kausapin nila .,"['PR', 'VBPR', 'FW', 'IN', 'DT', 'JJ', 'IN', 'JJ', 'DT', 'DT', 'NOUN', 'PR', 'CONJ', 'VB', 'PR', 'PUNC']","['PRP', 'VBZ', 'FW', 'IN', 'DTCP', 'JJD', 'IN', 'JJD', 'DTC', 'DTCP', 'NNC', 'PRP', 'CCR', 'VBOF', 'PRP', 'PMP']","['Flair', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,And there 's this fandom ng isa sa mga sikat na authors daw .,"['CONJ', 'EX', 'VBPR', 'DT', 'FW', 'CONJ', 'PR', 'CONJ', 'DT', 'JJ', 'CCP', 'FW', 'RB', 'PUNC']","['CC', 'EX', 'VBZ', 'DT', 'FW', 'CCB', 'PRI', 'CCT', 'DTCP', 'JJD', 'CCP', 'FW', 'RBI', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
2,Today 's sages will be tomorrow 's scapegoats .,"['NOUN', 'POS', 'NOUN', 'MD', 'VB', 'NOUN', 'POS', 'NOUN', 'PUNC']","['NN', 'POS', 'NNS', 'MD', 'VB', 'NN', 'POS', 'NNS', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
3,Sit on Santa 's lap45 .,"['VB', 'FW', 'PROPN', 'POS', 'CD', 'PUNC']","['VB', 'FW', 'NNP', 'POS', 'CDB', 'PMP']","['Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
4,How about Chevrolet Sail 's resale value ?,"['RB', 'IN', 'PROPN', 'PROPN', 'POS', 'NOUN', 'NOUN', 'PUNC']","['WRB', 'IN', 'NNP', 'NNP', 'POS', 'NN', 'NN', 'PMQ']","['Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN']"
5,"Umaasang makakaahon mula sa kinasadlakang apat na sunod na kabiguan pagkaraang pagharian ang nakaraang Philippine Cup ang Beermen matapos magdesisyon na palaruin na ang dapat sana ' y sa darating na Governor 's Cup pa nilang reinforcement na si Arizona Reid at palitan ang naunang import na si Ronald Roberts . Ayon kay coach Leo Austria , inaasahan nilang makakatulong ng malaki si Reid sa kanilang decision making at maibibigay nito ang hinahanap na liderato sa loob ng court . Tiyak namang ipantatapat sa kanila ng Meralco ang reliable import na si Josh Davis na isa sa pinakamalaking dahilan kung bakit tinatamasa ngayon ng Bolts ang pinamaganda nilang panimula sa nakalipas na apat na taon . Pinakamaliit sa hanay ngayon ng mga imports sa taas niyang 6- foot-4 , nangako naman si Reid na sisikapin niyang maibigay ang tulong na hinihingi sa kanya ng Beermen .","['VBPR', 'VBFT', 'RB', 'CONJ', 'NOUN', 'CD', 'CCP', 'JJ', 'CCP', 'NOUN', 'RB', 'VB', 'DT', 'JJ', 'PROPN', 'PROPN', 'DT', 'PROPN', 'VB', 'VB', 'CCP', 'NOUN', 'CCP', 'DT', 'VB', 'VB', 'SYM', 'FW', 'CONJ', 'NOUN', 'CCP', 'PROPN', 'POS', 'PROPN', 'RB', 'PR', 'FW', 'CCP', 'DT', 'PROPN', 'PROPN', 'IN', 'VB', 'DT', 'VBPT', 'FW', 'CCP', 'DT', 'PROPN', 'PROPN', 'PUNC', 'RB', 'DT', 'NOUN', 'PROPN', 'PROPN', 'PUNC', 'VBPR', 'PR', 'VBFT', 'CONJ', 'JJ', 'DT', 'FW', 'CONJ', 'PR', 'FW', 'VB', 'FW', 'VB', 'PR', 'DT', 'VBPR', 'CCP', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'FW', 'PUNC', 'RB', 'RB', 'VBFT', 'CONJ', 'PR', 'CONJ', 'PROPN', 'DT', 'FW', 'FW', 'CCP', 'DT', 'FW', 'FW', 'CCP', 'PR', 'CONJ', 'JJ', 'NOUN', 'RB', 'RB', 'VBPR', 'RB', 'CONJ', 'FW', 'DT', 'VBPR', 'PR', 'NOUN', 'CONJ', 'VBPT', 'CCP', 'CD', 'CCP', 'NOUN', 'PUNC', 'JJ', 'CONJ', 'NOUN', 'RB', 'CONJ', 'DT', 'FW', 'CONJ', 'NOUN', 'PR', 'CD', 'NOUN', 'PUNC', 'VBPT', 'RB', 'DT', 'FW', 'CCP', 'VBFT', 'PR', 'VB', 'DT', 'NOUN', 'CCP', 'VBPR', 'CONJ', 'PR', 'CONJ', 'PROPN', 'PUNC']","['VBTR', 'VBTF', 'RBL', 'CCT', 'NNC', 'JJN', 'CCP', 'JJD', 'CCP', 'NNC', 'RBD', 'VBW', 'DTC', 'JJD', 'NNP', 'NNP', 'DTC', 'NNP', 'VBW', 'VBW', 'CCP', 'NNC', 'CCP', 'DTC', 'VBS', 'VBS', 'PMS', 'FW', 'CCT', 'NNC', 'CCP', 'NNP', 'POS', 'NNP', 'RBI', 'PRP', 'FW', 'CCP', 'DTP', 'NNP', 'NNP', 'IN', 'VBOF', 'DTC', 'VBTS', 'FW', 'CCP', 'DTP', 'NNP', 'NNP', 'PMP', 'RBR', 'DTP', 'NN', 'NNP', 'NNP', 'PMC', 'VBTR', 'PRP', 'VBTF', 'CCB', 'JJD', 'DTP', 'FW', 'CCT', 'PRSP', 'FW', 'VBW', 'FW', 'VBW', 'PRO', 'DTC', 'VBTR', 'CCP', 'NNC', 'CCT', 'NNC', 'CCB', 'FW', 'PMP', 'RBD', 'RBI', 'VBTF', 'CCT', 'PRSP', 'CCB', 'NNP', 'DTC', 'FW', 'FW', 'CCP', 'DTP', 'FW', 'FW', 'CCP', 'PRI', 'CCT', 'JJCS', 'NNC', 'RBK', 'RBQ', 'VBTR', 'RBW', 'CCB', 'FW', 'DTC', 'VBTR', 'PRP', 'NNC', 'CCT', 'VBTS', 'CCP', 'JJN', 'CCP', 'NNC', 'PMP', 'JJCS', 'CCT', 'NNC', 'RBW', 'CCB', 'DTCP', 'FW', 'CCT', 'NNC', 'PRS', 'CDB', 'NN', 'PMC', 'VBTS', 'RBI', 'DTP', 'FW', 'CCP', 'VBTF', 'PRS', 'VBW', 'DTC', 'NNC', 'CCP', 'VBTR', 'CCT', 'PRSP', 'CCB', 'NNP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,"Malaking kapalpakan ang nagawa ng inupahang tao ng pamunuan ng FPJ 's Ang Probinsiyano nang gamitin ang wedding picture nina Dingdong Dantes at Marian Rivera , maging ang litratong kasama ng mag-asawa ang anak nilang si Letizia , nang walang pahintulot sa dalawang pagkakataon .","['JJ', 'NOUN', 'DT', 'VBPT', 'CONJ', 'VBPT', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'PROPN', 'POS', 'DT', 'RB', 'RB', 'VB', 'DT', 'FW', 'NOUN', 'DT', 'PROPN', 'PROPN', 'IN', 'PROPN', 'PROPN', 'PUNC', 'VB', 'DT', 'NOUN', 'CONJ', 'CONJ', 'NOUN', 'DT', 'NOUN', 'PR', 'DT', 'PROPN', 'PUNC', 'RB', 'RB', 'NOUN', 'CONJ', 'CD', 'NOUN', 'PUNC']","['JJD', 'NNC', 'DTC', 'VBTS', 'CCB', 'VBTS', 'NNC', 'CCB', 'NNC', 'CCB', 'NNPA', 'POS', 'DTC', 'RBD', 'RBD', 'VBOF', 'DTC', 'FW', 'NN', 'DTPP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'PMC', 'VBW', 'DTC', 'NNC', 'CCB', 'CCB', 'NNC', 'DTC', 'NNC', 'PRP', 'DTP', 'NNP', 'PMC', 'RBD', 'RBF', 'NNC', 'CCT', 'JJN', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
7,"Ganu'n kababaw ang bashers ng mga Atayde . Kaya pala sa guesting ni Sylvia sa programang Tonight with Boy Abunda nitong Lunes , natanong ni Boy kung ano 'yung tungkol sa pustahan at kung si Maine ba ito ?","['PROPN', 'NOUN', 'DT', 'FW', 'CONJ', 'DT', 'PROPN', 'PUNC', 'CONJ', 'NOUN', 'CONJ', 'VBPR', 'DT', 'PROPN', 'CONJ', 'NOUN', 'PROPN', 'IN', 'PROPN', 'PROPN', 'PR', 'PROPN', 'PUNC', 'VBPT', 'DT', 'PROPN', 'RB', 'RB', 'PR', 'RB', 'CONJ', 'NOUN', 'FW', 'CONJ', 'DT', 'PROPN', 'RB', 'PR', 'PUNC']","['NNP', 'NNC', 'DTC', 'FW', 'CCB', 'DTCP', 'NNP', 'PMP', 'CCR', 'NNC', 'CCT', 'VBG', 'DTP', 'NNP', 'CCT', 'NNC', 'NNP', 'IN', 'NNP', 'NNP', 'PRO', 'NNP', 'PMC', 'VBTS', 'DTP', 'NNP', 'RBK', 'RBQ', 'PRO', 'RBR', 'CCT', 'NNC', 'FW', 'CCR', 'DTP', 'NNP', 'RBI', 'PRO', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN']"
8,"Sa unang araw ng Pasko , binigay sa 'kin ng nobya ko : Isang basketbol na bago .","['CONJ', 'CD', 'NOUN', 'CONJ', 'PROPN', 'PUNC', 'VB', 'CONJ', 'NOUN', 'CONJ', 'NOUN', 'PR', 'SYM', 'PR', 'NOUN', 'CCP', 'RB', 'PUNC']","['CCT', 'JJN', 'NNC', 'CCB', 'NNP', 'PMC', 'VBOF', 'CCT', 'NNC', 'CCB', 'NNC', 'PRS', 'PMS', 'PRI', 'NNC', 'CCP', 'RBW', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
9,'Yung delivery address po ba ay 'yung lugar kung saan nanggaling ang item na bibilhin o ito ba 'yung lugar kung saan idedeliver ang bibilhin na item ?,"['PR', 'NOUN', 'NOUN', 'FW', 'RB', 'LM', 'PR', 'NOUN', 'RB', 'RB', 'VBPT', 'DT', 'FW', 'CCP', 'VBFT', 'FW', 'PR', 'RB', 'PR', 'NOUN', 'RB', 'RB', 'VBPR', 'DT', 'VBFT', 'CCP', 'FW', 'PUNC']","['PRO', 'NN', 'NN', 'FW', 'RBI', 'LM', 'PRO', 'NNC', 'RBK', 'RBQ', 'VBTS', 'DTC', 'FW', 'CCP', 'VBTF', 'FW', 'PRO', 'RBI', 'PRO', 'NNC', 'RBK', 'RBQ', 'VBTR', 'DTC', 'VBTF', 'CCP', 'FW', 'PMQ']","['MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
