,text,general_tags,specific_tags,token_tagset
0,It 's as if mga bobo at tanga ang mga kababayan natin kung kausapin nila .,"['PR', 'VBPR', 'FW', 'IN', 'DT', 'JJ', 'IN', 'JJ', 'DT', 'DT', 'NOUN', 'PR', 'CONJ', 'VB', 'PR', 'PUNC']","['PRP', 'VBZ', 'FW', 'IN', 'DTCP', 'JJD', 'IN', 'JJD', 'DTC', 'DTCP', 'NNC', 'PRP', 'CCR', 'VBOF', 'PRP', 'PMP']","['Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,And there 's this fandom ng isa sa mga sikat na authors daw .,"['CONJ', 'EX', 'VBPR', 'DT', 'FW', 'CONJ', 'PR', 'CONJ', 'DT', 'JJ', 'CCP', 'NOUN', 'RB', 'PUNC']","['CC', 'EX', 'VBZ', 'DT', 'FW', 'CCB', 'PRI', 'CCT', 'DTCP', 'JJD', 'CCP', 'NNS', 'RBI', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN']"
2,Today 's sages will be tomorrow 's scapegoats .,"['NOUN', 'POS', 'NOUN', 'MD', 'VB', 'NOUN', 'POS', 'NOUN', 'PUNC']","['NN', 'POS', 'NNS', 'MD', 'VB', 'NN', 'POS', 'NNS', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
3,Sit on Santa 's lap45 .,"['VB', 'FW', 'PROPN', 'POS', 'CD', 'PUNC']","['VB', 'FW', 'NNP', 'POS', 'CDB', 'PMP']","['Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN']"
4,How about Chevrolet Sail 's resale value ?,"['RB', 'IN', 'PROPN', 'PROPN', 'POS', 'NOUN', 'NOUN', 'PUNC']","['WRB', 'IN', 'NNP', 'NNP', 'POS', 'NN', 'NN', 'PMQ']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
5,"Umaasang makakaahon mula sa kinasadlakang apat na sunod na kabiguan pagkaraang pagharian ang nakaraang Philippine Cup ang Beermen matapos magdesisyon na palaruin na ang dapat sana ' y sa darating na Governor 's Cup pa nilang reinforcement na si Arizona Reid at palitan ang naunang import na si Ronald Roberts . Ayon kay coach Leo Austria , inaasahan nilang makakatulong ng malaki si Reid sa kanilang decision making at maibibigay nito ang hinahanap na liderato sa loob ng court . Tiyak namang ipantatapat sa kanila ng Meralco ang reliable import na si Josh Davis na isa sa pinakamalaking dahilan kung bakit tinatamasa ngayon ng Bolts ang pinamaganda nilang panimula sa nakalipas na apat na taon . Pinakamaliit sa hanay ngayon ng mga imports sa taas niyang 6- foot-4 , nangako naman si Reid na sisikapin niyang maibigay ang tulong na hinihingi sa kanya ng Beermen .","['VBPR', 'VBFT', 'RB', 'CONJ', 'NOUN', 'CD', 'CCP', 'JJ', 'CCP', 'NOUN', 'RB', 'VB', 'DT', 'JJ', 'PROPN', 'PROPN', 'DT', 'PROPN', 'VB', 'VB', 'CCP', 'NOUN', 'CCP', 'DT', 'VB', 'VB', 'SYM', 'FW', 'CONJ', 'NOUN', 'CCP', 'PROPN', 'POS', 'PROPN', 'RB', 'PR', 'NOUN', 'CCP', 'DT', 'PROPN', 'PROPN', 'IN', 'VB', 'DT', 'VBPT', 'PROPN', 'CCP', 'DT', 'PROPN', 'PROPN', 'PUNC', 'RB', 'DT', 'NOUN', 'PROPN', 'PROPN', 'PUNC', 'VBPR', 'PR', 'VBFT', 'CONJ', 'JJ', 'DT', 'PROPN', 'CONJ', 'PR', 'NOUN', 'VB', 'IN', 'VB', 'PR', 'DT', 'VBPR', 'CCP', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'PROPN', 'PUNC', 'RB', 'RB', 'VBFT', 'CONJ', 'PR', 'CONJ', 'PROPN', 'DT', 'JJ', 'NOUN', 'CCP', 'DT', 'PROPN', 'PROPN', 'CCP', 'PR', 'CONJ', 'JJ', 'NOUN', 'RB', 'RB', 'VBPR', 'RB', 'CONJ', 'PROPN', 'DT', 'VBPR', 'PR', 'NOUN', 'CONJ', 'VBPT', 'CCP', 'CD', 'CCP', 'NOUN', 'PUNC', 'JJ', 'CONJ', 'NOUN', 'RB', 'CONJ', 'DT', 'NOUN', 'CONJ', 'NOUN', 'PR', 'CD', 'PROPN', 'PUNC', 'VBPT', 'RB', 'DT', 'PROPN', 'CCP', 'VBFT', 'PR', 'VB', 'DT', 'NOUN', 'CCP', 'VBPR', 'CONJ', 'PR', 'CONJ', 'PROPN', 'PUNC']","['VBTR', 'VBTF', 'RBL', 'CCT', 'NNC', 'JJN', 'CCP', 'JJD', 'CCP', 'NNC', 'RBD', 'VBW', 'DTC', 'JJD', 'NNP', 'NNP', 'DTC', 'NNP', 'VBW', 'VBW', 'CCP', 'NNC', 'CCP', 'DTC', 'VBS', 'VBS', 'PMS', 'FW', 'CCT', 'NNC', 'CCP', 'NNP', 'POS', 'NNP', 'RBI', 'PRP', 'NN', 'CCP', 'DTP', 'NNP', 'NNP', 'IN', 'VBOF', 'DTC', 'VBTS', 'NNP', 'CCP', 'DTP', 'NNP', 'NNP', 'PMP', 'RBR', 'DTP', 'NN', 'NNP', 'NNP', 'PMC', 'VBTR', 'PRP', 'VBTF', 'CCB', 'JJD', 'DTP', 'NNP', 'CCT', 'PRSP', 'NN', 'VBW', 'IN', 'VBW', 'PRO', 'DTC', 'VBTR', 'CCP', 'NNC', 'CCT', 'NNC', 'CCB', 'NNP', 'PMP', 'RBD', 'RBI', 'VBTF', 'CCT', 'PRSP', 'CCB', 'NNP', 'DTC', 'JJ', 'NN', 'CCP', 'DTP', 'NNP', 'NNP', 'CCP', 'PRI', 'CCT', 'JJCS', 'NNC', 'RBK', 'RBQ', 'VBTR', 'RBW', 'CCB', 'NNP', 'DTC', 'VBTR', 'PRP', 'NNC', 'CCT', 'VBTS', 'CCP', 'JJN', 'CCP', 'NNC', 'PMP', 'JJCS', 'CCT', 'NNC', 'RBW', 'CCB', 'DTCP', 'NNS', 'CCT', 'NNC', 'PRS', 'CDB', 'NNP', 'PMC', 'VBTS', 'RBI', 'DTP', 'NNP', 'CCP', 'VBTF', 'PRS', 'VBW', 'DTC', 'NNC', 'CCP', 'VBTR', 'CCT', 'PRSP', 'CCB', 'NNP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,"Malaking kapalpakan ang nagawa ng inupahang tao ng pamunuan ng FPJ 's Ang Probinsiyano nang gamitin ang wedding picture nina Dingdong Dantes at Marian Rivera , maging ang litratong kasama ng mag-asawa ang anak nilang si Letizia , nang walang pahintulot sa dalawang pagkakataon .","['JJ', 'NOUN', 'DT', 'VBPT', 'CONJ', 'VBPT', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'PROPN', 'POS', 'DT', 'RB', 'RB', 'VB', 'DT', 'FW', 'NOUN', 'DT', 'PROPN', 'PROPN', 'IN', 'PROPN', 'PROPN', 'PUNC', 'VB', 'DT', 'NOUN', 'CONJ', 'CONJ', 'NOUN', 'DT', 'NOUN', 'PR', 'DT', 'PROPN', 'PUNC', 'RB', 'RB', 'NOUN', 'CONJ', 'CD', 'NOUN', 'PUNC']","['JJD', 'NNC', 'DTC', 'VBTS', 'CCB', 'VBTS', 'NNC', 'CCB', 'NNC', 'CCB', 'NNPA', 'POS', 'DTC', 'RBD', 'RBD', 'VBOF', 'DTC', 'FW', 'NN', 'DTPP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'PMC', 'VBW', 'DTC', 'NNC', 'CCB', 'CCB', 'NNC', 'DTC', 'NNC', 'PRP', 'DTP', 'NNP', 'PMC', 'RBD', 'RBF', 'NNC', 'CCT', 'JJN', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
7,"Ganu'n kababaw ang bashers ng mga Atayde . Kaya pala sa guesting ni Sylvia sa programang Tonight with Boy Abunda nitong Lunes , natanong ni Boy kung ano 'yung tungkol sa pustahan at kung si Maine ba ito ?","['PROPN', 'NOUN', 'DT', 'NOUN', 'CONJ', 'DT', 'PROPN', 'PUNC', 'CONJ', 'NOUN', 'CONJ', 'VBPR', 'DT', 'PROPN', 'CONJ', 'NOUN', 'PROPN', 'IN', 'PROPN', 'PROPN', 'PR', 'PROPN', 'PUNC', 'VBPT', 'DT', 'PROPN', 'RB', 'RB', 'PR', 'RB', 'CONJ', 'NOUN', 'PROPN', 'CONJ', 'DT', 'PROPN', 'RB', 'PR', 'PUNC']","['NNP', 'NNC', 'DTC', 'NNS', 'CCB', 'DTCP', 'NNP', 'PMP', 'CCR', 'NNC', 'CCT', 'VBG', 'DTP', 'NNP', 'CCT', 'NNC', 'NNP', 'IN', 'NNP', 'NNP', 'PRO', 'NNP', 'PMC', 'VBTS', 'DTP', 'NNP', 'RBK', 'RBQ', 'PRO', 'RBR', 'CCT', 'NNC', 'NNP', 'CCR', 'DTP', 'NNP', 'RBI', 'PRO', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN']"
8,"Sa unang araw ng Pasko , binigay sa 'kin ng nobya ko : Isang basketbol na bago .","['CONJ', 'CD', 'NOUN', 'CONJ', 'PROPN', 'PUNC', 'VB', 'CONJ', 'NOUN', 'CONJ', 'NOUN', 'PR', 'SYM', 'PR', 'NOUN', 'CCP', 'RB', 'PUNC']","['CCT', 'JJN', 'NNC', 'CCB', 'NNP', 'PMC', 'VBOF', 'CCT', 'NNC', 'CCB', 'NNC', 'PRS', 'PMS', 'PRI', 'NNC', 'CCP', 'RBW', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
9,'Yung delivery address po ba ay 'yung lugar kung saan nanggaling ang item na bibilhin o ito ba 'yung lugar kung saan idedeliver ang bibilhin na item ?,"['PR', 'JJ', 'NOUN', 'NOUN', 'RB', 'LM', 'PR', 'NOUN', 'RB', 'RB', 'VBPT', 'DT', 'VBPR', 'CCP', 'VBFT', 'IN', 'PR', 'RB', 'PR', 'NOUN', 'RB', 'RB', 'VBPR', 'DT', 'VBFT', 'CCP', 'PROPN', 'PUNC']","['PRO', 'JJ', 'NN', 'NN', 'RBI', 'LM', 'PRO', 'NNC', 'RBK', 'RBQ', 'VBTS', 'DTC', 'VBG', 'CCP', 'VBTF', 'IN', 'PRO', 'RBI', 'PRO', 'NNC', 'RBK', 'RBQ', 'VBTR', 'DTC', 'VBTF', 'CCP', 'NNP', 'PMQ']","['MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
