,text,general_tags,specific_tags,token_tagset
0,Wag natin hayaan na kainin tayo ng imahinasyon at gumawa tayo ng reyalidad .,"['RB', 'PR', 'VB', 'CCP', 'VB', 'PR', 'CONJ', 'NOUN', 'FW', 'VB', 'PR', 'CONJ', 'NOUN', 'PUNC']","['RBF', 'PRP', 'VBOF', 'CCP', 'VBOF', 'PRP', 'CCB', 'NNC', 'FW', 'VBAF', 'PRP', 'CCB', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,Dumami ang mga crew at empleyado ( at least nakatulong ) .,"['VB', 'DT', 'DT', 'NOUN', 'IN', 'NOUN', 'SYM', 'IN', 'JJ', 'VBPT', 'SYM', 'PUNC']","['VBAF', 'DTC', 'DTCP', 'NN', 'IN', 'NNC', 'PMS', 'IN', 'JJS', 'VBTS', 'PMS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN']"
2,"Hindi na ako nakipagtalo after ko sabihin bakit ako nakatsinelas , after hearing my side hiningi nya ang lisensya ko at tumawag sya ng ibang pulis para tiketan ako .","['RB', 'CCP', 'PR', 'VBPT', 'FW', 'PR', 'VB', 'PR', 'PR', 'VBPT', 'PUNC', 'IN', 'FW', 'PR', 'NOUN', 'VBPT', 'PR', 'DT', 'NOUN', 'PR', 'FW', 'VB', 'PR', 'CONJ', 'PR', 'NOUN', 'CONJ', 'VB', 'PR', 'PUNC']","['RBF', 'CCP', 'PRS', 'VBTS', 'FW', 'PRS', 'VBOF', 'PRQ', 'PRS', 'VBTS', 'PMC', 'IN', 'FW', 'PRP$', 'NN', 'VBTS', 'PRS', 'DTC', 'NNC', 'PRS', 'FW', 'VBAF', 'PRS', 'CCB', 'PRI', 'NNC', 'CCT', 'VBOF', 'PRS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
3,"Banal na Diyos , Banal na puspos ng kapangyarihan , Banal na walang Hanggan , maawa po kayo sa amin at sa buong mundo .","['PROPN', 'CCP', 'PROPN', 'PUNC', 'PROPN', 'CCP', 'JJ', 'CONJ', 'NOUN', 'PUNC', 'PROPN', 'CCP', 'VB', 'NOUN', 'PUNC', 'VBFT', 'FW', 'PR', 'CONJ', 'PR', 'FW', 'CONJ', 'PR', 'NOUN', 'PUNC']","['NNP', 'CCP', 'NNP', 'PMC', 'NNP', 'CCP', 'JJD', 'CCB', 'NNC', 'PMC', 'NNP', 'CCP', 'VBN', 'NNC', 'PMC', 'VBTF', 'FW', 'PRP', 'CCT', 'PRSP', 'FW', 'CCT', 'PRI', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
4,"Sa mga sumunod na taon , ginapang ng nanay ko ang pagaaral namin ni ate sa kung ano-anong raket .","['CONJ', 'DT', 'VB', 'CCP', 'NOUN', 'PUNC', 'VBPT', 'CONJ', 'NOUN', 'PR', 'DT', 'NOUN', 'PR', 'DT', 'FW', 'CONJ', 'CONJ', 'NOUN', 'NOUN', 'PUNC']","['CCT', 'DTCP', 'VBAF', 'CCP', 'NNC', 'PMC', 'VBTS', 'CCB', 'NNC', 'PRS', 'DTC', 'NNC', 'PRP', 'DTP', 'FW', 'CCT', 'CCR', 'NNC', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
5,Akala nga raw ng ate Toni ni Alex ay hindi naghahanda ang kapatid .,"['PROPN', 'RB', 'RB', 'CONJ', 'VBPT', 'PROPN', 'DT', 'PROPN', 'LM', 'RB', 'VBPR', 'DT', 'NOUN', 'PUNC']","['NNP', 'RBI', 'RBI', 'CCB', 'VBD', 'NNP', 'DTP', 'NNP', 'LM', 'RBF', 'VBTR', 'DTC', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,"constant tired of sh * ts You : basta nearby para one call away , no preference basta wag ka lang maarte at malinis lol , good tayo .","['JJ', 'JJ', 'IN', 'NOUN', 'SYM', 'VBPR', 'PR', 'SYM', 'CONJ', 'JJ', 'CONJ', 'CD', 'NOUN', 'RB', 'PUNC', 'DT', 'NOUN', 'CONJ', 'RB', 'PR', 'RB', 'VB', 'IN', 'JJ', 'FW', 'PUNC', 'JJ', 'PR', 'PUNC']","['JJ', 'JJ', 'IN', 'NN', 'PMS', 'VBZ', 'PRP', 'PMS', 'CCT', 'JJ', 'CCT', 'CD', 'NN', 'RB', 'PMC', 'DT', 'NN', 'CCT', 'RBF', 'PRS', 'RBI', 'VBW', 'IN', 'JJD', 'FW', 'PMC', 'JJ', 'PRP', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
7,Hindi ko rin naman sinusubukan ang mga dating apps .,"['RB', 'PR', 'RB', 'RB', 'VBPR', 'DT', 'DT', 'JJ', 'NOUN', 'PUNC']","['RBF', 'PRS', 'RBI', 'RBI', 'VBTR', 'DTC', 'DTCP', 'JJD', 'NNS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
8,8 / 10 accdg to dating app matches .,"['CD', 'SYM', 'CD', 'FW', 'IN', 'RB', 'NOUN', 'NOUN', 'PUNC']","['CDB', 'PMS', 'CDB', 'FW', 'IN', 'RBW', 'NN', 'NNS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN']"
9,"Ang daming natutulungan ng aktor na mga dating taga-showbiz na napapanood na ngayon sa Ang Probinsyano . Samantala , ang ganda ng ginawa ni Coco sa pa-raffle niya .","['DT', 'JJ', 'VBPR', 'CONJ', 'NOUN', 'CCP', 'DT', 'JJ', 'NOUN', 'CCP', 'VBPR', 'CCP', 'RB', 'CONJ', 'PROPN', 'PROPN', 'PUNC', 'CONJ', 'PUNC', 'DT', 'NOUN', 'CONJ', 'VBPT', 'DT', 'PROPN', 'CONJ', 'FW', 'PR', 'PUNC']","['DTC', 'JJD', 'VBTR', 'CCB', 'NNC', 'CCP', 'DTCP', 'JJD', 'NNC', 'CCP', 'VBTR', 'CCP', 'RBW', 'CCT', 'NNP', 'NNP', 'PMP', 'CCT', 'PMC', 'DTC', 'NNC', 'CCB', 'VBTS', 'DTP', 'NNP', 'CCT', 'FW', 'PRS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
