,text,general_tags,specific_tags,token_tagset
0,Nakakababa ng IQ ang fanaticism sa maling tao .,"['VBPR', 'CONJ', 'PROPN', 'DT', 'PROPN', 'CONJ', 'JJ', 'NOUN', 'PUNC']","['VBTR', 'CCB', 'NNP', 'DTC', 'NNP', 'CCT', 'JJD', 'NNC', 'PMP']","['MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,Ano ang mga remedy sa singaw ?,"['PR', 'DT', 'DT', 'NOUN', 'CONJ', 'NOUN', 'PUNC']","['PRQ', 'DTC', 'DTCP', 'NNC', 'CCT', 'NNC', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
2,Thank you po sa mga sasagot .,"['VBPR', 'PR', 'PROPN', 'CONJ', 'DT', 'VBFT', 'PUNC']","['VBP', 'PRP', 'NNP', 'CCT', 'DTCP', 'VBTF', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
3,May tinatawagan kasi ako ilang days na puro ganyan ang voice mail,"['VB', 'VBPR', 'CONJ', 'PR', 'PR', 'NOUN', 'CCP', 'JJ', 'NOUN', 'DT', 'PROPN', 'NOUN']","['VBH', 'VBTR', 'CCR', 'PRS', 'PRQ', 'NNS', 'CCP', 'JJD', 'NNC', 'DTC', 'NNP', 'NN']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy']"
4,Hindi normal na araw-araw wala tayong makain at maipakain sa pamilya natin .,"['RB', 'JJ', 'CCP', 'RB', 'VB', 'PR', 'VB', 'PROPN', 'VB', 'CONJ', 'NOUN', 'PR', 'PUNC']","['RBF', 'JJD', 'CCP', 'RBW', 'VBN', 'PRP', 'VBW', 'NNP', 'VBW', 'CCT', 'NNC', 'PRP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
5,yung seller nakakainis hindi siya accommodating hays sakit sa ulo,"['PR', 'PROPN', 'VBPR', 'RB', 'PR', 'VBPR', 'NOUN', 'NOUN', 'CONJ', 'NOUN']","['PRO', 'NNP', 'VBTR', 'RBF', 'PRS', 'VBG', 'NNS', 'NNC', 'CCT', 'NNC']","['MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN']"
6,"Also , halos lahat ng bills ko , okay sa Gcash .","['RB', 'PUNC', 'JJ', 'PR', 'CONJ', 'NOUN', 'PR', 'PUNC', 'JJ', 'CONJ', 'PROPN', 'PUNC']","['RB', 'PMC', 'JJD', 'PRI', 'CCB', 'NNS', 'PRS', 'PMC', 'JJD', 'CCT', 'NNP', 'PMP']","['Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
7,"Yet , I hear na yung mga graduates sa STATE UNIVERSITIES ng Pinas ay dapat magtrabaho dito ?","['CONJ', 'PUNC', 'CD', 'VBPR', 'CCP', 'PR', 'DT', 'VBPR', 'CONJ', 'PROPN', 'PROPN', 'CONJ', 'PROPN', 'LM', 'VB', 'VB', 'PR', 'PUNC']","['CC', 'PMC', 'CDB', 'VBP', 'CCP', 'PRO', 'DTCP', 'VBZ', 'CCT', 'NNP', 'NNPS', 'CCB', 'NNP', 'LM', 'VBS', 'VBW', 'PRL', 'PMQ']","['Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
8,"Yung hindi sana maikli ang attention span , yun bang natulog lang sa gabi , kinabukasan ay may amnesia na .","['PR', 'RB', 'VB', 'JJ', 'DT', 'NOUN', 'FW', 'PUNC', 'PR', 'RB', 'VBPT', 'RB', 'CONJ', 'RB', 'PUNC', 'RB', 'LM', 'VB', 'FW', 'CCP', 'PUNC']","['PRO', 'RBF', 'VBS', 'JJD', 'DTC', 'NN', 'FW', 'PMC', 'PRO', 'RBM', 'VBTS', 'RBI', 'CCT', 'RBW', 'PMC', 'RBW', 'LM', 'VBH', 'FW', 'CCP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
9,Balak ni nanay bumili ng camera para sa pamilya .,"['NOUN', 'DT', 'NOUN', 'VB', 'CONJ', 'NOUN', 'CONJ', 'CONJ', 'NOUN', 'PUNC']","['NNC', 'DTP', 'NNC', 'VBAF', 'CCB', 'NNC', 'CCT', 'CCT', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
10,Reason 4 : Ang cohabitation ay mapapanatili ang magandang check and balances sa gobyerno .,"['NOUN', 'CD', 'SYM', 'DT', 'NOUN', 'LM', 'VBFT', 'DT', 'JJ', 'NOUN', 'CONJ', 'VBPR', 'CONJ', 'NOUN', 'PUNC']","['NN', 'CDB', 'PMS', 'DTC', 'NN', 'LM', 'VBTF', 'DTC', 'JJD', 'NN', 'CC', 'VBZ', 'CCT', 'NNC', 'PMP']","['Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN']"
11,Sa pagkakaalam ko english language ang turo sa sign language .,"['CONJ', 'VB', 'PR', 'PROPN', 'PROPN', 'DT', 'NOUN', 'CONJ', 'PROPN', 'NOUN', 'PUNC']","['CCT', 'VBW', 'PRS', 'NNP', 'NNP', 'DTC', 'NNC', 'CCT', 'NNP', 'NN', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
12,Tatanungin niya ako about sa mga transactions ng bangko and everything related to it .,"['VBFT', 'PR', 'PR', 'IN', 'CONJ', 'DT', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'NOUN', 'VBPT', 'IN', 'PR', 'PUNC']","['VBTF', 'PRS', 'PRS', 'IN', 'CCT', 'DTCP', 'NNS', 'CCB', 'NNC', 'CC', 'NN', 'VBN', 'IN', 'PRP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
13,"But I want you to be strong , kasi ang lahat ng ito ay diversionary tactics sa mangyayaring hearing sa Lunes .","['CONJ', 'CD', 'VBPR', 'PR', 'TO', 'VB', 'FW', 'PUNC', 'CONJ', 'DT', 'PR', 'CONJ', 'PR', 'LM', 'JJ', 'NOUN', 'CONJ', 'NOUN', 'FW', 'CONJ', 'PROPN', 'PUNC']","['CC', 'CDB', 'VBP', 'PRP', 'TO', 'VB', 'FW', 'PMC', 'CCR', 'DTC', 'PRI', 'CCB', 'PRO', 'LM', 'JJ', 'NNS', 'CCT', 'NNC', 'FW', 'CCT', 'NNP', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
14,Must be 24 to 29 years old .,"['MD', 'VB', 'CD', 'TO', 'CD', 'NOUN', 'JJ', 'PUNC']","['MD', 'VB', 'CDB', 'TO', 'CDB', 'NNS', 'JJ', 'PMP']","['Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
15,lets have fun ngayong valantines,"['NOUN', 'VBPR', 'NOUN', 'RB', 'NOUN']","['NNS', 'VBP', 'NN', 'RBW', 'NNS']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy']"
16,"About me : saktong itsura , height ( 5 ' 6-7 ) , talino , humor ; walang hang-ups sa buhay .","['IN', 'PR', 'SYM', 'JJ', 'NOUN', 'PUNC', 'NOUN', 'SYM', 'CD', 'SYM', 'CD', 'SYM', 'PUNC', 'NOUN', 'PUNC', 'PROPN', 'PUNC', 'VB', 'FW', 'CONJ', 'NOUN', 'PUNC']","['IN', 'PRP', 'PMS', 'JJD', 'NNC', 'PMC', 'NN', 'PMS', 'CDB', 'PMS', 'CDB', 'PMS', 'PMC', 'NNC', 'PMC', 'NNP', 'PMSC', 'VBN', 'FW', 'CCT', 'NNC', 'PMP']","['Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
