,text,general_tags,specific_tags,token_tagset
0,This may be a misleading title .,"['DT', 'VB', 'VB', 'FW', 'JJ', 'NOUN', 'PUNC']","['DT', 'VBH', 'VB', 'FW', 'JJ', 'NN', 'PMP']","['Flair', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN']"
1,If you are 18 - 30 yrs old .,"['IN', 'PR', 'VBPR', 'CD', 'SYM', 'CD', 'NOUN', 'JJ', 'PUNC']","['IN', 'PRP', 'VBP', 'CDB', 'PMS', 'CDB', 'NNS', 'JJ', 'PMP']","['Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN']"
2,Message me or text me ( 09175418046 ) if you want to help out with this passion project .,"['VB', 'PR', 'CONJ', 'VB', 'PR', 'SYM', 'CD', 'SYM', 'IN', 'PR', 'VBPR', 'TO', 'VB', 'RB', 'IN', 'DT', 'NOUN', 'NOUN', 'PUNC']","['VB', 'PRP', 'CC', 'VB', 'PRP', 'PMS', 'CDB', 'PMS', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'RP', 'IN', 'DT', 'NN', 'NN', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
3,Please enlighten me regarding this matter .,"['UH', 'VB', 'PR', 'VBPR', 'DT', 'NOUN', 'PUNC']","['UH', 'VB', 'PRP', 'VBG', 'DT', 'NN', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
4,This is not a hookup post btw .,"['DT', 'VBPR', 'RB', 'FW', 'FW', 'NOUN', 'NOUN', 'PUNC']","['DT', 'VBZ', 'RB', 'FW', 'FW', 'NN', 'NN', 'PMP']","['Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN']"
5,Budget 20k a month Max .,"['NOUN', 'CD', 'FW', 'NOUN', 'PROPN', 'PUNC']","['NN', 'CDB', 'FW', 'NN', 'NNP', 'PMP']","['Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN']"
6,Any tips guys how to handle this ?,"['PROPN', 'NOUN', 'NOUN', 'RB', 'TO', 'VB', 'DT', 'PUNC']","['NNP', 'NNS', 'NNS', 'WRB', 'TO', 'VB', 'DT', 'PMQ']","['MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
7,This will be my first time ordering online outside the country .,"['DT', 'MD', 'VB', 'PR', 'JJ', 'NOUN', 'VBPR', 'RB', 'IN', 'DT', 'NOUN', 'PUNC']","['DT', 'MD', 'VB', 'PRP$', 'JJ', 'NN', 'VBG', 'RB', 'IN', 'DT', 'NN', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
8,"Also , why entrust the implementation of vaccination slots to this faulty eZConsult app ?","['RB', 'PUNC', 'RB', 'VB', 'DT', 'NOUN', 'IN', 'NOUN', 'NOUN', 'IN', 'DT', 'JJ', 'PROPN', 'NOUN', 'PUNC']","['RB', 'PMC', 'WRB', 'VB', 'DT', 'NN', 'IN', 'NN', 'NNS', 'IN', 'DT', 'JJ', 'NNP', 'NN', 'PMQ']","['Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
9,LF someone petite to fuck .,"['PROPN', 'NOUN', 'NOUN', 'TO', 'VB', 'PUNC']","['NNP', 'NN', 'NN', 'TO', 'VB', 'PMP']","['Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
