,text,general_tags,specific_tags,token_tagset
0,This may be a misleading title .,"['DT', 'VB', 'VB', 'NOUN', 'VBPR', 'NOUN', 'PUNC']","['DT', 'VBH', 'VB', 'NNC', 'VBG', 'NN', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
1,If you are 18 - 30 yrs old .,"['IN', 'PR', 'VBPR', 'CD', 'SYM', 'CD', 'PROPN', 'JJ', 'PUNC']","['IN', 'PRP', 'VBP', 'CDB', 'PMS', 'CDB', 'NNP', 'JJ', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
2,Message me or text me ( 09175418046 ) if you want to help out with this passion project .,"['NOUN', 'PR', 'CONJ', 'NOUN', 'PR', 'SYM', 'CD', 'SYM', 'IN', 'PR', 'VB', 'TO', 'VB', 'RB', 'IN', 'DT', 'NOUN', 'NOUN', 'PUNC']","['NN', 'PRP', 'CC', 'NN', 'PRP', 'PMS', 'CDB', 'PMS', 'IN', 'PRP', 'VB', 'TO', 'VB', 'RB', 'IN', 'DT', 'NN', 'NN', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
3,Please enlighten me regarding this matter .,"['UH', 'VB', 'PR', 'VBPR', 'DT', 'RB', 'PUNC']","['UH', 'VB', 'PRP', 'VBG', 'DT', 'RB', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
4,This is not a hookup post btw .,"['DT', 'VBPR', 'RB', 'NOUN', 'FW', 'NOUN', 'RB', 'PUNC']","['DT', 'VBZ', 'RB', 'NNC', 'FW', 'NN', 'RB', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
5,Budget 20k a month Max .,"['NOUN', 'CD', 'NOUN', 'NOUN', 'PROPN', 'PUNC']","['NN', 'CDB', 'NNC', 'NN', 'NNP', 'PMP']","['Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
6,Any tips guys how to handle this ?,"['PROPN', 'NOUN', 'NOUN', 'RB', 'TO', 'VB', 'DT', 'PUNC']","['NNP', 'NNS', 'NNS', 'WRB', 'TO', 'VB', 'DT', 'PMQ']","['MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
7,This will be my first time ordering online outside the country .,"['DT', 'MD', 'VB', 'PR', 'RB', 'NOUN', 'VBPR', 'NOUN', 'RB', 'DT', 'NOUN', 'PUNC']","['DT', 'MD', 'VB', 'PRP$', 'RB', 'NN', 'VBG', 'NN', 'RB', 'DT', 'NN', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
8,"Also , why entrust the implementation of vaccination slots to this faulty eZConsult app ?","['RB', 'PUNC', 'RB', 'VB', 'DT', 'NOUN', 'IN', 'NOUN', 'NOUN', 'TO', 'DT', 'JJ', 'NOUN', 'PROPN', 'PUNC']","['RB', 'PMC', 'WRB', 'VB', 'DT', 'NN', 'IN', 'NN', 'NNS', 'TO', 'DT', 'JJ', 'NNS', 'NNP', 'PMQ']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
9,LF someone petite to fuck .,"['PROPN', 'NOUN', 'VB', 'TO', 'NOUN', 'PUNC']","['NNP', 'NN', 'VB', 'TO', 'NN', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
10,The Tukomi video advertises a 1-year investment return of 2800 % .,"['DT', 'PROPN', 'NOUN', 'VBPR', 'NOUN', 'CD', 'NOUN', 'VB', 'IN', 'CD', 'SYM', 'PUNC']","['DT', 'NNP', 'NN', 'VBZ', 'NNC', 'CD', 'NN', 'VB', 'IN', 'CDB', 'PMS', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN']"
11,"Was searching for intense programming jobs like eCommerce , inventory system , etc .","['VBPT', 'VBPR', 'IN', 'JJ', 'NOUN', 'NOUN', 'UH', 'PROPN', 'PUNC', 'NOUN', 'NOUN', 'PUNC', 'FW', 'PUNC']","['VBD', 'VBG', 'IN', 'JJ', 'NN', 'NNS', 'UH', 'NNP', 'PMC', 'NN', 'NN', 'PMC', 'FW', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN']"
12,Any insights on this ?,"['PROPN', 'NOUN', 'FW', 'DT', 'PUNC']","['NNP', 'NNS', 'FW', 'DT', 'PMQ']","['MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN']"
13,"If it matters , I 'm a dom , daddy dom , actually .","['IN', 'PR', 'NOUN', 'PUNC', 'CD', 'NOUN', 'NOUN', 'NOUN', 'PUNC', 'NOUN', 'NOUN', 'PUNC', 'RB', 'PUNC']","['IN', 'PRP', 'NNS', 'PMC', 'CDB', 'NNC', 'NNC', 'NN', 'PMC', 'NNC', 'NN', 'PMC', 'RB', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN']"
14,To surrender all desires and only then can one find inner peace or whatever .,"['TO', 'VB', 'DT', 'NOUN', 'CONJ', 'RB', 'RB', 'NOUN', 'CD', 'VB', 'JJ', 'NOUN', 'CONJ', 'DT', 'PUNC']","['TO', 'VB', 'DT', 'NNS', 'CC', 'RB', 'RB', 'NNC', 'CD', 'VB', 'JJ', 'NN', 'CC', 'WDT', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
15,"If so , you guys can share it here .","['IN', 'RB', 'PUNC', 'PR', 'NOUN', 'NOUN', 'NOUN', 'PR', 'RB', 'PUNC']","['IN', 'RB', 'PMC', 'PRP', 'NNS', 'NNC', 'NN', 'PRP', 'RB', 'PMP']","['Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
16,Is it because of the UG rap battle ?,"['VBPR', 'PR', 'IN', 'IN', 'DT', 'PROPN', 'NOUN', 'NOUN', 'PUNC']","['VBZ', 'PRP', 'IN', 'IN', 'DT', 'NNPA', 'NNC', 'NN', 'PMQ']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
