,text,general_tags,specific_tags,token_tagset
0,Naaalala ko pa naman mga pinaggagagawa ko nung araw na yun .,"['VBPR', 'PR', 'RB', 'RB', 'DT', 'VBPR', 'PR', 'RB', 'NOUN', 'CCP', 'PR', 'PUNC']","['VBTR', 'PRS', 'RBI', 'RBI', 'DTCP', 'VBTR', 'PRS', 'RBW', 'NNC', 'CCP', 'PRO', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,Pwedeng galing sa inyo o sa mga kakilala ninyo .,"['RB', 'RB', 'CONJ', 'PR', 'PUNC', 'CONJ', 'DT', 'JJ', 'PR', 'PUNC']","['RBT', 'RBL', 'CCT', 'PRSP', 'NFP', 'CCT', 'DTCP', 'JJD', 'PRP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
2,Pero nauubos na ang pera namin .,"['CONJ', 'VBPR', 'CCP', 'DT', 'NOUN', 'PR', 'PUNC']","['CCT', 'VBTR', 'CCP', 'DTC', 'NNC', 'PRP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
3,Kung di ka namimili ng kausap .,"['CONJ', 'RB', 'PR', 'VBPR', 'CONJ', 'NOUN', 'PUNC']","['CCR', 'RBF', 'PRS', 'VBTR', 'CCB', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
4,Tara pag usapan bakit putangina ng lahat .,"['PROPN', 'CONJ', 'NOUN', 'PR', 'NOUN', 'CONJ', 'PR', 'PUNC']","['NNP', 'CCR', 'NNC', 'PRQ', 'NNC', 'CCB', 'PRI', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
5,Hindi hawak ng mga bituin ang ating kapalaran .,"['RB', 'JJ', 'CONJ', 'DT', 'NOUN', 'DT', 'PR', 'NOUN', 'PUNC']","['RBF', 'JJD', 'CCB', 'DTCP', 'NNC', 'DTC', 'PRSP', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,Ano pang hindi mo kakayanin sa buhay na to ? ``,"['PR', 'RB', 'RB', 'UH', 'VBFT', 'CONJ', 'NOUN', 'CCP', 'XX', 'PUNC', 'SYM']","['PRQ', 'RBI', 'RBF', 'UH', 'VBTF', 'CCT', 'NNC', 'CCP', 'XX', 'PMQ', 'PMS']","['MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
7,Nasaktan ako sa sinabi mo ...,"['VBPT', 'PR', 'CONJ', 'VBPT', 'UH', 'SYM']","['VBTS', 'PRS', 'CCT', 'VBTS', 'UH', 'PMS']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
8,Nasan ang anak ko ?,"['PROPN', 'DT', 'NOUN', 'PR', 'PUNC']","['NNP', 'DTC', 'NNC', 'PRS', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
9,Ang mga pangako ni Pangulong Duterte sa uring manggagawa ay napako sa loob ng mahigit isang taon .,"['DT', 'DT', 'NOUN', 'DT', 'PROPN', 'PROPN', 'CONJ', 'NOUN', 'NOUN', 'LM', 'VBPT', 'CONJ', 'NOUN', 'CONJ', 'JJ', 'PR', 'NOUN', 'PUNC']","['DTC', 'DTCP', 'NNC', 'DTP', 'NNP', 'NNP', 'CCT', 'NNC', 'NNC', 'LM', 'VBTS', 'CCT', 'NNC', 'CCB', 'JJCC', 'PRI', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
10,kailangan mo ng makakatulong sa gawaing bahay ?,"['VB', 'UH', 'CONJ', 'VBFT', 'CONJ', 'VB', 'NOUN', 'PUNC']","['VBS', 'UH', 'CCB', 'VBTF', 'CCT', 'VBOF', 'NNC', 'PMQ']","['MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
11,Sa Lunes kasi malalaman na ng tao kung gaano kasama ang namumuno sa bansa natin .,"['CONJ', 'PROPN', 'CONJ', 'VBFT', 'CCP', 'CONJ', 'NOUN', 'CONJ', 'PR', 'CONJ', 'DT', 'VBPR', 'CONJ', 'NOUN', 'PR', 'PUNC']","['CCT', 'NNP', 'CCR', 'VBTF', 'CCP', 'CCB', 'NNC', 'CCR', 'PRC', 'CCB', 'DTC', 'VBTR', 'CCT', 'NNC', 'PRP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
12,Nasaan ang mga tagapag-tanggol ng katarungan ?,"['PROPN', 'DT', 'DT', 'NOUN', 'CONJ', 'NOUN', 'PUNC']","['NNP', 'DTC', 'DTCP', 'NNC', 'CCB', 'NNC', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
13,Malamig na mga gabi ?,"['JJ', 'CCP', 'DT', 'RB', 'PUNC']","['JJD', 'CCP', 'DTCP', 'RBW', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
14,Mukhang may nagbabadya na namang kadiliman galing sa mga kampon ng demonyo .,"['RB', 'VB', 'VBPR', 'CCP', 'RB', 'NOUN', 'RB', 'CONJ', 'DT', 'NOUN', 'CONJ', 'NOUN', 'PUNC']","['RBM', 'VBH', 'VBTR', 'CCP', 'RBI', 'NNC', 'RBL', 'CCT', 'DTCP', 'NNC', 'CCB', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
15,Yung pamilya mo na walang kaalam alam na gusto mo na mawala sa mundo ?,"['PR', 'NOUN', 'UH', 'CCP', 'VB', 'CONJ', 'VB', 'CCP', 'VB', 'UH', 'CCP', 'VB', 'CONJ', 'NOUN', 'PUNC']","['PRO', 'NNC', 'UH', 'CCP', 'VBN', 'CCB', 'VBS', 'CCP', 'VBS', 'UH', 'CCP', 'VBW', 'CCT', 'NNC', 'PMQ']","['MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
16,Gusto ko din hanapin ang sarili ko .,"['VB', 'PR', 'RB', 'VB', 'DT', 'NOUN', 'PR', 'PUNC']","['VBS', 'PRS', 'RBI', 'VBOF', 'DTC', 'NNC', 'PRS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
17,Hindi po ako makakakakain .,"['RB', 'UH', 'PR', 'VBFT', 'PUNC']","['RBF', 'UH', 'PRS', 'VBTF', 'PMP']","['MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN']"
18,gusto ba ng kausap ?,"['VB', 'RB', 'CONJ', 'NOUN', 'PUNC']","['VBS', 'RBI', 'CCB', 'NNC', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
